pincode,circle,region,division,offices
755025,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Barundai S.O, Dulakhapatna B.O, Gopalpur Taranda B.O, Mukundapur B.O, Ranigoda B.O, Tarakote B.O, Tulasipur B.O"
755026,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dangadi S.O, Kalinga Nagar B.O, Duburi B.O, Gobarghati B.O, Jakhapura B.O, Khurunti B.O, Kumbhiragadia B.O, Manitira B.O, Nadiabhanga B.O, Ollalo B.O, Pankapal Sasan B.O, Pingal B.O, Ranagundi B.O, Salijanga B.O"
755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O, Guhali B.O, Kumbhuka B.O, Arei S.O, Sasanda B.O, Sayedpur B.O"
755028,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kalaringatta S.O, Chingudipal B.O, Kaliapani B.O, Kansa B.O, Ransol B.O"
755036,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Ardaulia B.O, Arjunpur Brahmachari Patna B.O, Gopabandhunagar B.O, Kamalpur B.O, Mallikapur B.O, Mohantypatna B.O, Narangochha B.O, Ahiyas S.O"
755043,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Panikoili S.O, Beruda B.O, Bhubaneswarpur B.O, Bhuinpur B.O, Hatsahi B.O, Kamagarh B.O, Malapara B.O, Masudpur B.O, Rurhiya B.O"
755044,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Chandikhol S.O, Darpanigarh B.O, Siha B.O"
755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O"
755050,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,Jaraka S.O
755051,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rasulpur S.O, Adampur B.O, Derakundi B.O, Khanditar B.O, Madhubanhat B.O, Sadanandapur B.O, Votka B.O"
755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O, Erdang Natra B.O, Madhuban B.O, Palimi B.O"
755062,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Chitalo S.O, Bandhamunda B.O, Jharanga B.O, Kapasichhaka B.O, Markandapur B.O, Mirchandpur B.O, Rahasoi B.O, Sridharpur B.O, KHANDARA B.O"
756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O, Balasore RS S.O, Fakirmohan College S.O, Issannagar S.O, Nayabazar Balasore S.O, Sahadevkhunta S.O, Sovarampur S.O, Srikanthapur S.O"
756002,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sunhat S.O, Manikula B.O, Panjibag B.O, Puruna Balasore B.O, Ranasahi B.O, Sahada B.O, Sargaon B.O"
756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O, Dahapada B.O, Fulwar kaswa B.O, Ghodapada B.O, Haripur B.O, Nijampur B.O, Sahupada B.O, Sindhia B.O, Bhimpura B.O, Barabati S.O, Makalpur S.O, Sahid Park S.O, Reserve Police Line B.O"
756019,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Remuna S.O, Armala B.O, Badapal B.O, Gobindpur B.O, Gududapatna B.O, Januganj B.O, Kanrali B.O, Kashimpur B.O, Khirachora Gopinath B.O, Naraharipur B.O, Somnathpur B.O, Udambar B.O"
756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O, Dharaganj B.O, Durgadevi B.O, Kans B.O, Machhua B.O, Mahispata B.O, Narasingpur B.O, Nimpal B.O, Patna B.O, Pundala B.O, Rasaslpur B.O, Sathilabalbalia B.O, Singiri B.O, Tikirapal B.O"
756021,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Rasalpur S.O, Bankeswar B.O, Bardhanpur B.O, Bhimpur B.O, Inchudi B.O, Jaydev Kasba B.O, Kuanrpur B.O"
756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O, Kothapada B.O, Kothia B.O, Mukulisi B.O"
756023,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Singla S.O, Baliapal Katisahi B.O, Beladandia B.O, Belli B.O, Debhog B.O, Gadasahi Baliapal B.O, Ghantua B.O, Jathia B.O, Khalamuhani B.O, Kumbhari B.O, Machharanka Simulia B.O, Nepura B.O, Nikhira B.O, Srirampur Road B.O"
756024,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Nangaleswar S.O, Badakuruda B.O, Balarampur B.O, Bolang B.O, Jambhirai B.O, Kashafal B.O, Mandhatabazar B.O, Nadbani B.O, Nuagaon B.O, Panchupalli B.O, Saudi B.O"
756025,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chandipur S.O, Balaramgadi B.O, Gudupai B.O, Hidigaon B.O, Parkhi B.O, Srikona B.O"
756026,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Baliapal S.O, Asti B.O, Badasimulia B.O, Badhapal B.O, Bishnupur B.O, Dalua B.O, Ghantiary B.O, Jamkunda B.O, Jharapimpal B.O, Panchurukhi B.O, Paschima Bad B.O, Rella B.O"
756027,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Haldipada S.O, Alumeda B.O, Ambapunja B.O, Bahabalpur B.O, Buanl B.O, Chaksartha B.O, Chhanua B.O, Digdha B.O, Dublagadi B.O, Jhinkiria B.O, Nagram B.O, Odangi B.O, Olipur B.O, Panchupada B.O, Sargaon B.O, Sartha B.O, Solpata B.O"
756028,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Rupsa S.O, Anko B.O, Bamada B.O, Hatiadiha B.O, Lachman Khunta B.O, Nalabahar B.O, Nuagaon B.O, Routpada B.O"
756029,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Basta S.O, Baharda Bazar B.O, Barunagadia B.O, Bidyadharpur B.O, Dandika B.O, Dhobachakurai B.O, Haladiapada B.O, Jamalpur B.O, Khadikapada B.O, Kushadiha (A) B.O, Kushadiha (B)church B.O, Machhadiha B.O, Mandrukula B.O, Mathani B.O, Pandurangi B.O, Sadanandapur B.O, Srirampur B.O, Uitikiri B.O"
756030,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Amarda Road S.O, Chasipada B.O, Chinchlagadia B.O, Dhitpura B.O, Gopinathpur B.O, Gudikhal B.O, Kuldiha B.O, Mohammad Nagar B.O, Vellora B.O"
756032,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar H.O, Nayabazar Jaleswar S.O"
756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O, Bhandarikuli B.O, Chudamanipur B.O, Kabataghati B.O, Kalama B.O, Kankei B.O, Khanabad B.O, Khuard B.O, Mahuduma B.O, Mankidia B.O, Munutunia B.O, Olmara B.O, Raibania B.O"
756034,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Nampo S.O, Ambadiha B.O, Budhakusumi B.O, Demuria B.O, Ikida B.O, Kamarsalia B.O, Kasida B.O, Khalina B.O, Khuluda B.O, Masanbaria B.O"
756035,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Kamarda S.O, Baharda B.O, Balim B.O, Baunsadiha B.O, Belda B.O, Chakaisab B.O, Chandakusumi B.O, Dahunda B.O, Dakhinanadbani B.O, Dubsahi B.O, Durpal B.O, Kachuadi B.O, Karihanda B.O, Khairda B.O, Kotisahi B.O, Kusuda B.O, Madhupura B.O, Mahagab B.O, Nachinda B.O, Putina B.O, Upla Hat B.O"
756036,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Dehurda S.O, Alalbindha B.O, Baitpur B.O, Batagramghat B.O, Deulahat B.O, Gopinathpur B.O, Guneibasan B.O, Haridaspur B.O, Jaleswarpur B.O, Kumarjalina B.O, Kumarmuli B.O, Mankunda B.O, Narayanpur B.O, Nimatpur B.O, Nishanpur B.O, Pasarbindha B.O, Soharia B.O, Sukhsandhapatna B.O, Sultanpur B.O, Tarapur B.O"
756037,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Fulbani S.O, Ausha B.O, Bichitrapur B.O, Nafrai B.O, Naranmohantypadia B.O, Sankhari B.O, Sardhapur B.O, Tukurihazira B.O"
756038,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bhograi S.O, Adangapantei B.O, Bartana B.O, Iswarpur B.O, Jayarampur B.O, Khalabadia B.O, Malaruan B.O, Pithapur B.O, Rasalpur B.O"
756039,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Kakhra S.O, Barbatia Bazar B.O, Udayganjapatna B.O"
756040,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Raj Nilgiri S.O, Dhobasila B.O, Hatsahi B.O, Kahalia B.O, Mirigini B.O, Podasul B.O, Shyamsundarpur B.O, Siadimal B.O, Nilgiri College S.O"
756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O, Jadibali B.O, Jamudiha B.O, Kalakad B.O, Kharadiha B.O, Matiali B.O, Narayanapur B.O, Telipal B.O, Tenda B.O"
